-15.918860, -79.390424, D095
-21.150933, -80.547286, D096
-24.379234, -80.836501, D097
-27.496213, -80.691894, D098
-33.173569, -81.704148, D099
-36.401870, -81.993363, D100
-39.518849, -81.848756, D101
8.683015, -76.064445, A090
-45.530167, -82.861010, D102
-48.647147, -82.716402, D103
15.028295, -66.664932, A018
10.909429, -66.231109, A017
7.569808, -66.954148, A016
26.383006, -64.929637, A021
23.154706, -65.218853, A020
20.037726, -65.074245, A019
38.405642, -64.061989, A024
35.177342, -64.351205, A023
32.060362, -64.206597, A022
50.762240, -62.760517, A027
47.533940, -63.049733, A026
44.416960, -62.905125, A025
49.871675, -54.807073, A028
46.643374, -55.096289, A029
43.526394, -54.951681, A030
66.681101, -62.326693, A011
63.452800, -62.615909, A010
60.335820, -62.471301, A009
78.369774, -61.025221, A014
75.141474, -61.314437, A013
72.024494, -61.169829, A012
57.552803, -26.753057, A005
83.824489, -60.302180, A015
84.937696, -71.147778, A091
37.849039, -55.674722, A031
34.620738, -55.963938, A032
31.503759, -55.819330, A033
25.158479, -56.686979, A034
21.930178, -56.976195, A035
18.813199, -56.831587, A036
-28.609420, -71.003170, E001
10.909429, -58.277668, A038
7.792449, -58.133060, A039
-34.398097, -70.713954, E001
-37.626397, -71.003170, F001
-40.743377, -70.858562, J001
-34.286776, -62.037477, D077
-37.515077, -62.326693, D078
-40.632056, -62.182085, D079
-46.977336, -63.917381, D080
-50.205637, -64.206597, D081
-53.322616, -64.061989, D082
-46.532053, -71.870817, E001
-49.760354, -72.160033, F001
-52.877333, -72.015425, J001
-48.535826, -49.022746, D067
-51.764126, -49.311963, D066
-54.881106, -49.167355, D065
-37.069794, -47.576664, D070
-40.298094, -47.865881, D069
-43.415074, -47.721272, D068
-49.537712, -41.358508, D062
-52.766013, -41.647725, D063
-55.882992, -41.503117, D064
-37.181114, -39.912425, D059
-40.409415, -40.201642, D060
-43.526394, -40.057033, D061
-24.601875, -46.419798, D073
-27.830176, -46.709015, D072
-30.947155, -46.564407, D071
-12.801881, -45.118324, D076
-16.030181, -45.407541, D075
-19.147161, -45.262932, D074
-13.581126, -37.598691, D053
-16.809426, -37.887908, D054
-19.926406, -37.743299, D055
5.009432, -45.118324, A040
8.460373, -35.863390, A051
5.343394, -35.718782, A052
17.254709, -34.706523, A050
21.373575, -42.949200, A042
18.256595, -42.804591, A041
48.535826, -39.767817, A044
45.307526, -40.057033, A043
20.705651, -34.417306, A049
-25.269799, -38.755558, D056
-28.498100, -39.044775, D057
-31.615079, -38.900166, D058
-66.124497, -50.758045, D002
-69.352797, -51.047261, D003
-72.469777, -50.902653, D004
58.777331, -33.115830, A006
47.533940, -32.682005, A045
44.416960, -32.537397, A046
58.777331, -36.441824, A007
58.443369, -39.333992, A008
-72.915060, -21.547148, D007
-76.143360, -21.836365, D008
-79.260340, -21.691756, D009
-67.571666, -20.534887, D006
-66.124497, -26.463840, D005
-17.811312, -25.162363, D049
-51.318844, -27.620708, D041
-54.547144, -27.909925, D040
-57.664124, -27.765316, D039
-52.098089, -20.101062, D036
-55.326389, -20.390279, D037
-58.443369, -20.245670, D038
-39.407529, -26.030014, D044
-42.635829, -26.319231, D043
-45.752809, -26.174622, D042
-40.298094, -16.919671, D032
-43.415074, -18.799584, D034
-46.532053, -18.654975, D035
-27.162251, -24.728537, D047
-30.390552, -25.017754, D046
-33.507531, -24.873145, D045
-27.941496, -17.208888, D031
-22.598103, -16.630454, D029
-21.818858, -25.306971, D048
-3.005659, -20.245670, D052
-6.233959, -20.534887, D051
-18.924519, -17.064280, D028
-3.784904, -12.726018, D025
-7.013204, -13.015236, D026
-10.130184, -12.870627, D027
10.130184, -21.402539, A055
6.901884, -21.691756, A054
3.784904, -21.547148, A053
9.350939, -13.882888, A074
6.122639, -14.172106, A075
3.005659, -14.027497, A076
22.264140, -19.956453, A058
19.035840, -20.245670, A057
15.918860, -20.101062, A056
21.484895, -12.436801, A071
18.256595, -12.726018, A072
15.139615, -12.581410, A073
34.175456, -18.944192, A061
30.947155, -19.233410, A060
27.830176, -19.088801, A059
33.396211, -11.424539, A068
30.167910, -11.713757, A069
27.050931, -11.569148, A070
45.864129, -18.076540, A064
42.635829, -18.365758, A063
39.518849, -18.221149, A062
45.084884, -10.556887, A065
41.856584, -10.846104, A066
38.739604, -10.701496, A067
-14.694333, -25.162363, D050
-69.575439, 63.049257, C014
-72.915060, 63.483087, C013
-65.456573, 55.529547, C012
-66.124497, 63.193867, C015
-68.907515, 55.818767, C011
-71.801853, 55.384938, C010
2.226414, -67.821796, D089
49.315071, -13.738279, A089
-84.381092, 47.576014, 
-77.924491, 48.154453, 
-84.047130, 44.539212, 
-77.479209, 45.262260, 
-83.601847, 41.502411, 
-77.145247, 42.080850, 
